step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,712,8,0.25820964982525724,0.0,0.0,0.22716089173256931,0.0,0.0,,
2,1296,16,0.29564093450521695,0.0,0.0,,,,,
3,2136,24,0.15569288235952625,0.0,0.125,,,,,
4,2784,32,0.15192115601186834,0.0,0.1111111111111111,,,,,
5,3624,40,0.08675033254480626,0.0,0.5,,,,,
6,4336,48,0.05912815486391165,0.125,0.46153846153846156,,,,,
7,5304,56,0.032286761835203,0.125,0.5333333333333333,,,,,
8,5888,64,0.05457983902072455,0.25,0.5714285714285714,,,,,
9,6536,72,0.057866748343407395,0.375,0.6428571428571429,0.04770754232440671,0.375,0.6875,,
10,7312,80,0.03863283884336625,0.25,0.6,,,,,
11,8088,88,0.04214375688993414,0.375,0.5454545454545454,,,,,
12,8736,96,0.04717365088828137,0.25,0.6666666666666666,,,,,
13,9384,104,0.03901999889395733,0.5,0.7777777777777778,,,,,
14,10096,112,0.05258879688450427,0.375,0.7222222222222222,,,,,
15,10744,120,0.05129250398861997,0.125,0.5625,,,,,
16,11648,128,0.030028673443437452,0.5,0.6923076923076923,,,,,
17,12232,136,0.04537022201356497,0.5,0.75,0.03400836329320164,0.375,0.7058823529411765,,
18,12816,144,0.04689352071662142,0.5,0.75,,,,,
19,13592,152,0.0361722035510824,0.5,0.7777777777777778,,,,,
20,14304,160,0.03287017286490068,0.625,0.8235294117647058,,,,,
21,14888,168,0.04124100768674352,0.25,0.6,,,,,
22,15984,176,0.022081644305234918,0.625,0.8235294117647058,,,,,
23,16696,184,0.03217985042323066,0.625,0.85,,,,,
24,17408,192,0.03439319089680793,0.5,0.7894736842105263,,,,,
25,18248,200,0.030041230639093065,0.375,0.6875,0.025777014969227137,0.375,0.7058823529411765,,
26,19280,208,0.02270463344321911,0.625,0.8125,,,,,
27,20056,216,0.03006098305424985,0.5,0.7894736842105263,,,,,
28,20896,224,0.03026955891154041,0.25,0.6842105263157895,,,,,
29,21480,232,0.03997062814559993,0.375,0.7222222222222222,,,,,
30,22128,240,0.03774118811006702,0.25,0.5384615384615384,,,,,
31,22712,248,0.03870494211381205,0.375,0.6666666666666666,,,,,
32,23488,256,0.037930640327813306,0.125,0.6111111111111112,,,,,
33,24072,264,0.03594217560130447,0.5,0.6923076923076923,0.031564589207645585,0.25,0.5714285714285714,,
34,25360,272,0.019561784280106624,0.25,0.6470588235294118,,,,,
35,26072,280,0.03416128939680758,0.375,0.6875,,,,,
36,26912,288,0.027421831056509083,0.25,0.6470588235294118,,,,,
37,28136,296,0.02126304279021539,0.5,0.75,,,,,
38,29296,304,0.024883648633296944,0.125,0.4166666666666667,,,,,
39,30200,312,0.02896802486419541,0.25,0.625,,,,,
40,30784,320,0.03979917541588293,0.25,0.6,,,,,
41,31432,328,0.03635146011476354,0.125,0.46153846153846156,0.028920334058879095,0.25,0.6,,
42,32080,336,0.03892743213670474,0.25,0.7,,,,,
43,32536,344,0.03521448425760355,0.5,0.6923076923076923,,,,,
44,33184,352,0.031356701879556345,0.625,0.8,,,,,
45,33896,360,0.033118308714765586,0.25,0.6842105263157895,,,,,
46,34672,368,0.02736455076493068,0.5,0.7333333333333333,,,,,
47,35256,376,0.032676851646696786,0.375,0.6875,,,,,
48,36288,384,0.024903278494833786,0.25,0.5714285714285714,,,,,
49,37000,392,0.030123167746614853,0.625,0.8571428571428571,0.03680599334683575,0.25,0.5714285714285714,,
50,37584,400,0.03441682595390123,0.5,0.7777777777777778,,,,,
51,38168,408,0.032425348136172635,0.375,0.6875,,,,,
52,38880,416,0.028116808983216866,0.5,0.7333333333333333,,,,,
53,39528,424,0.03314560350703778,0.625,0.8235294117647058,,,,,
54,40176,432,0.0351438317422826,0.375,0.7368421052631579,,,,,
55,41336,440,0.02229208492790955,0.125,0.5333333333333333,,,,,
56,42176,448,0.027481670834982444,0.0,0.42857142857142855,,,,,
57,42888,456,0.030816968753847918,0.375,0.6428571428571429,0.021620098887387466,0.625,0.7857142857142857,,
58,43792,464,0.01898034019736055,0.5,0.7333333333333333,,,,,
59,44504,472,0.03547842917146309,0.0,0.6,,,,,
60,45152,480,0.030179558666697175,0.375,0.6666666666666666,,,,,
61,45672,488,0.038405669799907824,0.125,0.46153846153846156,,,,,
62,46384,496,0.02987844896602176,0.25,0.6,,,,,
63,47160,504,0.02514359660153616,0.25,0.7272727272727273,,,,,
64,47744,512,0.028753832259361494,0.625,0.8125,,,,,
65,48904,520,0.018494819348748023,0.25,0.5714285714285714,0.02964265386674807,0.25,0.5714285714285714,,
66,49488,528,0.03511074230006266,0.25,0.6842105263157895,,,,,
67,50008,536,0.03751454710768996,0.375,0.6428571428571429,,,,,
68,50656,544,0.03203020072634899,0.25,0.5384615384615384,,,,,
69,51304,552,0.027859938370900634,0.5,0.7647058823529411,,,,,
70,51824,560,0.043737798059263394,0.25,0.625,,,,,
71,52472,568,0.028984754072494075,0.375,0.6875,,,,,
72,52992,576,0.0370565501052279,0.0,0.5,,,,,
73,53960,584,0.024901477406360152,0.375,0.6666666666666666,0.026515640204796,0.625,0.8235294117647058,,
74,54864,592,0.026865438271773723,0.375,0.7058823529411765,,,,,
75,55960,600,0.024809278105273256,0.5,0.75,,,,,
76,56672,608,0.03717054277629255,0.375,0.6666666666666666,,,,,
77,57448,616,0.03233658186054678,0.375,0.6666666666666666,,,,,
78,58288,624,0.030335845836777755,0.25,0.5384615384615384,,,,,
79,59320,632,0.02004535879618345,0.625,0.8421052631578947,,,,,
80,60096,640,0.021787717826131352,0.5,0.75,,,,,
81,61320,648,0.014701785041772476,0.875,0.9333333333333333,0.027888879135196394,0.25,0.6842105263157895,,
82,61904,656,0.03480744884610847,0.75,0.8,,,,,
83,62552,664,0.044065440304570526,0.25,0.6470588235294118,,,,,
84,63328,672,0.037064703418179,0.25,0.625,,,,,
85,63976,680,0.03505252442477559,0.125,0.6666666666666666,,,,,
86,64560,688,0.028539679988302345,0.375,0.5833333333333334,,,,,
87,65592,696,0.025394738054737687,0.25,0.5625,,,,,
88,66176,704,0.03203178382735031,0.5,0.7777777777777778,,,,,
