step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,1736,8,0.11684554365685774,0.0,0.0,0.1142571834970035,0.0,0.0,,
2,3408,16,0.11839626396485127,0.0,0.0,,,,,
3,4952,24,0.09591503130820873,0.0,0.06666666666666667,,,,,
4,6688,32,0.07365253271753554,0.0,0.1111111111111111,,,,,
5,8360,40,0.05574535268549207,0.0,0.375,,,,,
6,10352,48,0.03253463469197809,0.125,0.5882352941176471,,,,,
7,12024,56,0.03106897697942285,0.375,0.7058823529411765,,,,,
8,13376,64,0.03936312108902799,0.625,0.8235294117647058,,,,,
9,15240,72,0.03620544813505478,0.125,0.65,0.02859809432603666,0.5,0.7894736842105263,,
10,16656,80,0.032984175737928,0.75,0.9,,,,,
11,18008,88,0.060109326139392696,0.125,0.46153846153846156,,,,,
12,19616,96,0.030342282091201742,0.375,0.7368421052631579,,,,,
13,21288,104,0.02960737508913649,0.5,0.75,,,,,
14,22704,112,0.032183601719852024,0.625,0.7692307692307693,,,,,
15,24440,120,0.036582509952778265,0.125,0.6666666666666666,,,,,
16,25728,128,0.03618464244725897,0.375,0.6875,,,,,
17,27080,136,0.03544361517115335,0.375,0.6428571428571429,0.031222036375928276,0.0,0.5555555555555556,,
18,28496,144,0.03253527302277534,0.25,0.6470588235294118,,,,,
19,30104,152,0.031998666410341686,0.25,0.6470588235294118,,,,,
20,31520,160,0.03228010737390253,0.25,0.6666666666666666,,,,,
21,33000,168,0.029767931397594052,0.375,0.7058823529411765,,,,,
22,34224,176,0.036829250904100885,0.25,0.7,,,,,
23,35704,184,0.03678906333760028,0.125,0.5333333333333333,,,,,
24,37248,192,0.029096812217156726,0.5,0.75,,,,,
25,38536,200,0.03755596068458544,0.25,0.5714285714285714,0.026121567702694266,0.25,0.5714285714285714,,
26,40016,208,0.028477825233979806,0.375,0.6666666666666666,,,,,
27,41496,216,0.0234780798217413,0.75,0.9090909090909091,,,,,
28,43360,224,0.020764696749371415,0.375,0.7058823529411765,,,,,
29,45032,232,0.024343669238477583,0.5,0.7142857142857143,,,,,
30,46704,240,0.030327668049839385,0.125,0.5882352941176471,,,,,
31,48632,248,0.024691062662328934,0.0,0.6,,,,,
32,50240,256,0.023834679775520815,0.75,0.9047619047619048,,,,,
33,51976,264,0.022795581388578543,0.25,0.5714285714285714,0.025900418632584205,0.625,0.8571428571428571,,
34,53968,272,0.01845837259671527,0.375,0.7058823529411765,,,,,
35,55576,280,0.023366070315068696,0.5,0.75,,,,,
36,57504,288,0.01777589331823085,0.5,0.8,,,,,
37,58856,296,0.03416635735917962,0.125,0.36363636363636365,,,,,
38,60080,304,0.02641944670973855,0.25,0.625,,,,,
39,61880,312,0.019337366275867966,0.5,0.7777777777777778,,,,,
